cust_id,lookalikes
C0001,"[('C0192', 0.9351311690866997), ('C0091', 0.9264202964886824), ('C0184', 0.9257561394185018)]"
C0002,"[('C0134', 0.9746377057330999), ('C0106', 0.9393837048127348), ('C0088', 0.8758389459417519)]"
C0003,"[('C0052', 0.995097046978372), ('C0031', 0.9605101553121962), ('C0076', 0.9382684470986701)]"
C0004,"[('C0165', 0.9704692891525358), ('C0155', 0.958865037792546), ('C0169', 0.9041180150775117)]"
C0005,"[('C0007', 0.9555503631632034), ('C0186', 0.8739209927186862), ('C0140', 0.8543776493672361)]"
C0006,"[('C0187', 0.9278945261802203), ('C0168', 0.8921503389158317), ('C0171', 0.8668586421373369)]"
C0007,"[('C0005', 0.9555503631632034), ('C0140', 0.8933834484709783), ('C0186', 0.7580402472769493)]"
C0008,"[('C0065', 0.8445175188295456), ('C0059', 0.7736203844204615), ('C0189', 0.7714694144705834)]"
C0009,"[('C0010', 0.9530175056628449), ('C0062', 0.9299672679523466), ('C0198', 0.8805704024803878)]"
C0010,"[('C0062', 0.9781929806744234), ('C0103', 0.9579286157532565), ('C0009', 0.9530175056628449)]"
C0011,"[('C0169', 0.9395786532149496), ('C0174', 0.9222322478387583), ('C0153', 0.9159318817104083)]"
C0012,"[('C0195', 0.9640159281999842), ('C0163', 0.8652568262497007), ('C0003', 0.7902169775365088)]"
C0013,"[('C0099', 0.8965925959184085), ('C0108', 0.793461633647956), ('C0143', 0.7681765970242108)]"
C0014,"[('C0060', 0.83874406022899), ('C0097', 0.8243951079174495), ('C0172', 0.802771475427193)]"
C0015,"[('C0036', 0.9475656098634101), ('C0094', 0.8735025475440912), ('C0131', 0.8134828665679514)]"
C0016,"[('C0183', 0.9997480798341826), ('C0067', 0.9594889765036289), ('C0034', 0.901720230451222)]"
C0017,"[('C0075', 0.946058851002592), ('C0081', 0.9040171262311292), ('C0057', 0.8677240629634434)]"
C0018,"[('C0117', 0.9753561709522173), ('C0046', 0.9191162764101999), ('C0185', 0.8301566139694572)]"
C0019,"[('C0121', 0.9038390694094113), ('C0132', 0.7838027875367808), ('C0081', 0.773467189939399)]"
C0020,"[('C0050', 0.9171350227303107), ('C0026', 0.8636161059250123), ('C0035', 0.8543410644262027)]"
